nik;nadawca;telefon;odbiorca;tpp
33609678;PL81109022840000000144469135;48033609678;PL75114020040000698745632144;100005
33609066;PL49109022840000000144469129;48033609066;PL75114020040000698745632144;100005
33609270;PL92109022840000000144469131;48033609270;PL75114020040000698745632144;100002
33608771;PL33109022840000000144469126;48033608771;PL75114020040000698745632144;100006
33609984;PL97109022840000000144469138;48033609984;PL75114020040000698745632144;100005
33608975;PL76109022840000000144469128;48033608975;PL75114020040000698745632144;100004
33609168;PL22109022840000000144469130;48033609168;PL75114020040000698745632144;100002
33608363;PL44109022840000000144469122;48033608363;PL75114020040000698745632144;100004
33608873;PL06109022840000000144469127;48033608873;PL75114020040000698745632144;100005
33608261;PL71109022840000000144469121;48033608261;PL75114020040000698745632144;100006
33608669;PL60109022840000000144469125;48033608669;PL75114020040000698745632144;100002
33607966;PL55109022840000000144469118;48033607966;PL75114020040000698745632144;100005
33608465;PL17109022840000000144469123;48033608465;PL75114020040000698745632144;100004
33607864;PL82109022840000000144469117;48033607864;PL75114020040000698745632144;100005
33608159;PL98109022840000000144469120;48033608159;PL75114020040000698745632144;100006
33607558;PL66109022840000000144469114;48033607558;PL75114020040000698745632144;100002
33607456;PL93109022840000000144469113;48033607456;PL75114020040000698745632144;100005
33608057;PL28109022840000000144469119;48033608057;PL75114020040000698745632144;100004
33607762;PL12109022840000000144469116;48033607762;PL75114020040000698745632144;100005
33607150;PL77109022840000000144469110;48033607150;PL75114020040000698745632144;100006
33607048;PL07109022840000000144469109;48033607048;PL75114020040000698745632144;100002
33607354;PL23109022840000000144469112;48033607354;PL75114020040000698745632144;100005
33607252;PL50109022840000000144469111;48033607252;PL75114020040000698745632144;100004
33606651;PL18109022840000000144469105;48033606651;PL75114020040000698745632144;100005
33606345;PL02109022840000000144469102;48033606345;PL75114020040000698745632144;100006
33606855;PL61109022840000000144469107;48033606855;PL75114020040000698745632144;100002
33605948;PL13109022840000000144469098;48033605948;PL75114020040000698745632144;100005
33606549;PL45109022840000000144469104;48033606549;PL75114020040000698745632144;100004
33606447;PL72109022840000000144469103;48033606447;PL75114020040000698745632144;100005
33605744;PL67109022840000000144469096;48033605744;PL75114020040000698745632144;100006
33606243;PL29109022840000000144469101;48033606243;PL75114020040000698745632144;100002
33605846;PL40109022840000000144469097;48033605846;PL75114020040000698745632144;100005
33605642;PL94109022840000000144469095;48033605642;PL75114020040000698745632144;100004
33605234;PL08109022840000000144469091;48033605234;PL75114020040000698745632144;100005
33605438;PL51109022840000000144469093;48033605438;PL75114020040000698745632144;100006
